channel=0
6815058,31
6816568,79
6817142,91
6817493,90
6817819,87
6818444,86
6820499,87
6820930,86
6821320,32
6821400,83
6821997,70
6822014,82
6822395,80
6822397,68
6822658,65
6822669,77
6822905,63
6822915,75
6823138,74
6823173,62
6823430,71
6823438,59
6823705,58
6823707,70
6824011,68
6824024,56
6824362,65
6824372,53
6824716,63
6824739,51
6825136,62
6825142,50
6825690,47
6825703,59
6826449,56
6826461,44
6828383,31
6828391,51
6828393,59
6828398,56
6829895,55
6830143,43
6830359,51
6830561,54
6830803,48
6831103,43
6831367,48
6831721,43
6831871,51
6832083,48
6832685,31
6832773,50
6833149,43
6833404,31
6833632,43
6833842,31
6834026,43
6834230,31
6834389,43
6834541,31
6834703,43
6834841,31
6834950,43
6835086,31
6835176,43
6835316,31
6835415,43
6835538,31
6835635,43
6835752,31
6835849,43
6835925,31
6836080,43
6836751,51
6836865,50
6836993,32
6837003,47
6837630,44
6837813,47
6838013,51
6838176,56
6838336,59
6838483,63
6838619,68
6838757,70
6838910,71
6839048,75
6839192,80
6839343,82
6839505,83
6839683,87
6839881,94
6840102,92
6840464,36
6840586,91
6840983,43
6841308,48
6841652,51
6842036,55
6842488,60
6842953,48
6843403,51
6843834,55
6844311,62
6844335,79
6844766,78
6844809,63
6845132,75
6845175,66
6845807,74
6845837,67
6847171,75
6847376,74
6847600,44
6847625,71
6848584,63
6848922,59
6849202,58
6849460,68
6849678,63
6849889,59
6850164,71
6850480,68
6850854,63
6851366,48
6851420,63
6851438,67
6851457,72
6851988,60
6852511,62
6852545,79
6852908,78
6852910,63
6853229,66
6853238,75
6853807,74
6853809,67
6855044,75
6855302,74
6855551,63
6855595,44
6855614,68
6855652,71
6856084,51
6856399,58
6856715,63
6856723,59
6857075,58
6857440,51
6857861,56
6858200,51
6858556,44
6858955,51
6859365,58
6859778,56
6860227,36
6860315,55
6860321,51
6860941,72
6860953,60
6861360,79
6861362,62
6861689,63
6861698,78
6862018,66
6862024,75
6862425,67
6862427,74
6862814,68
6863145,70
6863485,71
6863829,72
6864189,74
6864601,32
6864680,75
6864688,71
6864692,63
6865133,70
6865457,68
6865774,67
6866084,66
6866410,65
6866699,63
6866999,61
6867298,59
6867432,68
6867590,58
6867978,80
6867980,56
6867984,68
6867988,71
6868340,53
6868651,51
6869005,47
6869372,44
6869759,32
6870278,31
6870761,50
6870918,72
6871117,55
6871542,79
6871544,62
6871550,67
6871554,72
6871935,63
6871939,78
6872340,66
6872344,75
6872828,74
6872831,68
6873275,67
6873646,66
6874025,63
6874383,62
6874780,75
6874780,60
6875279,74
6875285,55
6875900,44
6875902,71
6875904,53
6875906,68
6875912,59
6875915,63
6876374,51
6876720,58
6877057,56
6877351,63
6877638,61
6877908,65
6878171,63
6878453,68
6878776,71
6879111,63
6879427,68
6879775,59
6879843,63
6880163,56
6880656,53
6881353,31
6881355,43
6881359,55
6882464,72
6882495,60
6883057,79
6883074,67
6883078,55
6883491,78
6883509,66
6883522,54
6883849,75
6883865,51
6883872,63
6884177,74
6884192,50
6884204,62
6884493,56
6884499,80
6884509,68
6884805,55
6884811,79
6884817,67
6885079,78
6885080,66
6885086,54
6885334,51
6885336,75
6885344,63
6885606,84
6885608,60
6885622,72
6885882,82
